This file is created using RaceChrono v10.2.4 ( http://racechrono.com/ ).
Format,3
Session title,"Sonoma Raceway"
Session type,Lap timing
Track name,"Sonoma Raceway"
Driver name,"Max Fischer"
Created,27/08/2026,05:24
Note,Converted from Ducati DDA binary log

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,altitude,bearing,latitude,longitude,speed,engine_rpm,throttle_position,gear,lean_angle,torque_reduction_fast,torque_reduction_slow
unix time,,,s,m,m,deg,deg,deg,m/s,rpm,%,#,deg,%,%
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: can,100: can,100: can,100: can,100: can,100: can
1724869059.20,0,,1037.20,18380.62,0.0,0.0,38.1590560,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869059.30,0,,1037.30,18380.62,0.0,0.0,38.1590560,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869059.40,0,,1037.40,18380.62,0.0,0.0,38.1590560,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869059.50,0,,1037.50,18380.62,0.0,0.0,38.1590560,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869059.60,0,,1037.60,18380.62,0.0,0.0,38.1590560,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869059.70,0,,1037.70,18380.76,0.0,321.8,38.1590570,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869059.80,0,,1037.80,18380.76,6553.4,321.8,38.1590570,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869059.90,0,,1037.90,18380.76,6553.4,321.8,38.1590570,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869060.00,0,,1038.00,18380.76,6553.4,321.8,38.1590570,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869060.10,0,,1038.10,18380.76,6553.4,321.8,38.1590570,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869060.20,0,,1038.20,18380.85,6553.4,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869060.30,0,,1038.30,18380.93,6553.4,270.0,38.1590570,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869060.40,0,,1038.40,18380.93,6553.4,270.0,38.1590570,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869060.50,0,,1038.50,18380.93,6553.4,270.0,38.1590570,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869060.60,0,,1038.60,18380.93,6553.4,270.0,38.1590570,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869060.70,0,,1038.70,18381.02,6553.4,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869060.80,0,,1038.80,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869060.90,0,,1038.90,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869061.00,0,,1039.00,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869061.10,0,,1039.10,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869061.20,0,,1039.20,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
